conceptual_clarity_level,attention_span_category,retention_strength,problem_solving_speed_sec,error_pattern,growth_slope,response_to_feedback,revisions_per_week,days_between_revisions,method_of_revision,question_asking_nature,self_assessment_accuracy,exploration_tendency,teacher_relationship_quality,peer_learning_behavior,communication_clarity,discussion_engagement,test_anxiety_level,resilience_after_failure,motivation_intrinsic_vs_extrinsic,achievement_orientation,emotional_self_awareness,device_access_type,preferred_edtech_apps,digital_distraction_level,input_method_preference,highest_academic_level,study_space_quality,academic_pressure_at_home,family_responsibilities_hrs,support_system_strength,content_type_preference,knowledge_graph_nodes_covered,metacognitive_skill_level,ongoing_concept
4,2,72.0,225,calculation,0.35,4,2,3,"['active_recall', 'flashcards', 'spaced_repetition']",2,-2.0,3,4,2,4,3,3,4,0.75,2,3,2,"['KhanAcademy', 'Quizlet', 'Anki']",3,typing,high_school,4,3,2,2,"['video', 'practice_tests']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time']",3,Uniform Linear Motion
2,1,50.0,450,conceptual,-0.05,2,1,6,"['summarization', 'flashcards']",1,-25.0,1,2,1,2,1,5,1,0.25,1,2,1,"['Brainly', 'Quizlet']",5,voice,middle_school,2,5,5,1,"['text', 'simulation']",['Sundial'],1,Water Clock
3,2,60.0,300,calculation,0.25,3,1,6,"['flashcards', 'spaced_repetition']",2,-15.0,2,3,2,3,2,4,2,0.5,2,3,1,"['Quizlet', 'KhanAcademy']",4,writing,middle_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
4,3,82.0,195,careless,0.45,5,3,2,"['active_recall', 'spaced_repetition', 'practice_tests']",3,3.0,4,5,3,4,4,2,4,0.82,3,4,2,"['Anki', 'Coursera', 'Brilliant']",2,typing,bachelor,5,2,1,3,"['video', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion']",4,Non-uniform Linear Motion
2,1,40.0,570,conceptual,-0.25,1,0,8,['summarization'],1,-45.0,1,1,1,1,1,5,1,0.12,1,1,0,['Wikipedia'],5,voice,none,1,5,7,1,['text'],['Sundial'],1,Water Clock
3,2,68.0,255,calculation,0.35,3,2,4,"['flashcards', 'spaced_repetition']",2,-8.0,3,3,2,3,3,3,3,0.55,2,3,2,"['KhanAcademy', 'Quizlet', 'Brilliant']",3,typing,high_school,4,3,2,2,"['video', 'practice_tests']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time']",3,Uniform Linear Motion
3,2,58.0,330,calculation,0.15,3,1,7,"['flashcards', 'summarization']",2,-18.0,2,3,2,3,2,4,2,0.45,2,3,1,"['Quizlet', 'Brainly', 'YouTube']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
4,3,88.0,165,careless,0.65,5,3,1,"['active_recall', 'spaced_repetition', 'practice_tests', 'group_study']",3,8.0,5,5,3,5,5,1,5,0.95,3,5,2,"['Anki', 'Notion', 'Brilliant']",1,typing,phd,5,1,0,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion', 'Non-uniform Linear Motion']",5,Non-uniform Linear Motion
5,3,95.0,75,careless,0.8,5,3,1,"['active_recall', 'spaced_repetition', 'practice_tests', 'group_study', 'mnemonics']",3,15.0,5,5,3,5,5,1,5,0.98,3,5,2,"['Anki', 'Notion', 'Brilliant']",1,typing,phd,5,1,0,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion', 'Non-uniform Linear Motion']",5,Non-uniform Linear Motion
2,1,48.0,495,conceptual,-0.15,2,0,12,['summarization'],1,-35.0,1,2,1,2,1,5,1,0.18,1,2,1,"['Brainly', 'Wikipedia']",5,voice,middle_school,2,5,4,1,"['text', 'simulation']",['Sundial'],1,Water Clock
3,2,62.0,315,calculation,0.22,3,1,5,"['flashcards', 'spaced_repetition']",2,-12.0,3,3,2,3,2,4,2,0.52,2,3,1,"['Quizlet', 'KhanAcademy', 'YouTube']",4,writing,middle_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
1,1,25.0,600,conceptual,-0.4,1,0,14,['summarization'],1,-60.0,1,1,1,1,1,5,1,0.05,1,1,0,['Wikipedia'],5,voice,none,1,5,8,1,['text'],['Sundial'],1,Water Clock
3,2,52.0,345,calculation,0.1,3,1,8,"['flashcards', 'summarization']",2,-22.0,2,3,2,3,2,4,2,0.35,2,3,1,"['Quizlet', 'Brainly', 'Overleaf']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
2,1,38.0,525,conceptual,-0.35,1,0,11,['summarization'],1,-55.0,1,1,1,1,1,5,1,0.08,1,1,0,['Wikipedia'],5,voice,none,1,5,9,1,['text'],['Sundial'],1,Water Clock
2,1,32.0,555,conceptual,-0.45,1,0,13,['summarization'],1,-65.0,1,1,1,1,1,5,1,0.02,1,1,0,['Wikipedia'],5,voice,none,1,5,10,1,['text'],['Sundial'],1,Water Clock
4,3,78.0,200,careless,0.6,4,2,3,"['active_recall', 'spaced_repetition', 'practice_tests']",3,2.0,4,4,3,4,4,2,4,0.78,3,4,2,"['KhanAcademy', 'Anki', 'Brilliant']",2,typing,bachelor,5,2,1,3,"['video', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion']",4,Non-uniform Linear Motion
1,1,28.0,585,conceptual,-0.5,1,0,14,['summarization'],1,-70.0,1,1,1,1,1,5,1,0.01,1,1,0,['Wikipedia'],5,voice,none,1,5,11,1,['text'],['Sundial'],1,Water Clock
4,3,83.0,170,careless,0.55,5,3,2,"['active_recall', 'spaced_repetition', 'practice_tests']",3,4.0,4,5,3,4,4,2,4,0.88,3,4,2,"['Anki', 'Coursera', 'Brilliant']",2,typing,bachelor,5,2,1,3,"['video', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion']",4,Non-uniform Linear Motion
2,1,42.0,580,conceptual,-0.3,1,0,13,['summarization'],1,-62.0,1,1,1,1,1,5,1,0.03,1,1,0,['Wikipedia'],5,voice,none,1,5,12,1,['text'],['Sundial'],1,Water Clock
5,3,92.0,120,careless,0.75,5,3,1,"['active_recall', 'spaced_repetition', 'practice_tests', 'group_study']",3,12.0,5,5,3,5,5,1,5,0.92,3,5,2,"['Anki', 'Notion', 'Brilliant']",1,typing,phd,5,1,0,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion', 'Non-uniform Linear Motion']",5,Non-uniform Linear Motion
3,2,57.0,390,calculation,0.18,3,1,6,"['flashcards', 'summarization']",2,-23.0,2,3,2,3,2,4,2,0.42,2,3,1,"['Quizlet', 'Brainly', 'StackOverflow']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
3,2,63.0,340,calculation,0.28,3,2,5,"['flashcards', 'spaced_repetition']",2,-17.0,2,3,2,3,2,4,2,0.48,2,3,1,"['Quizlet', 'Brainly', 'Duolingo']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
2,1,37.0,500,conceptual,-0.4,1,0,10,['summarization'],1,-68.0,1,1,1,1,1,5,1,0.06,1,1,0,['Wikipedia'],5,voice,none,1,5,13,1,['text'],['Sundial'],1,Water Clock
5,3,87.0,135,careless,0.72,5,3,2,"['active_recall', 'spaced_repetition', 'practice_tests', 'group_study']",3,9.0,5,5,3,5,5,1,5,0.93,3,5,2,"['Anki', 'Notion', 'Brilliant']",1,typing,phd,5,1,0,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion', 'Non-uniform Linear Motion']",5,Non-uniform Linear Motion
3,2,67.0,285,calculation,0.32,4,2,4,"['active_recall', 'flashcards']",2,-7.0,3,4,2,3,3,3,3,0.72,2,3,2,"['KhanAcademy', 'Quizlet', 'Brilliant']",3,typing,high_school,4,3,2,2,"['video', 'practice_tests']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time']",3,Uniform Linear Motion
2,1,43.0,590,conceptual,-0.38,1,0,12,['summarization'],1,-67.0,1,1,1,1,1,5,1,0.04,1,1,0,['Wikipedia'],5,voice,none,1,5,14,1,['text'],['Sundial'],1,Water Clock
3,2,53.0,375,calculation,0.05,3,1,9,"['flashcards', 'summarization']",2,-27.0,2,3,2,3,2,4,2,0.38,2,3,1,"['Quizlet', 'Brainly', 'Overleaf']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
3,2,63.0,320,calculation,0.26,3,1,5,"['flashcards', 'summarization']",2,-13.0,2,3,2,3,2,4,2,0.46,2,3,1,"['Quizlet', 'Brainly', 'StackOverflow']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
1,1,27.0,595,conceptual,-0.55,1,0,14,['summarization'],1,-75.0,1,1,1,1,1,5,1,0.005,1,1,0,['Wikipedia'],5,voice,none,1,5,15,1,['text'],['Sundial'],1,Water Clock
5,3,98.0,60,careless,0.9,5,3,1,"['active_recall', 'spaced_repetition', 'practice_tests', 'group_study', 'mnemonics']",3,18.0,5,5,3,5,5,1,5,0.99,3,5,2,"['Anki', 'Notion', 'Brilliant']",1,typing,phd,5,1,0,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion', 'Non-uniform Linear Motion']",5,Non-uniform Linear Motion
3,2,59.0,350,calculation,0.12,3,1,8,"['flashcards', 'summarization']",2,-25.0,2,3,2,3,2,4,2,0.4,2,3,1,"['Quizlet', 'Brainly', 'StackOverflow']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
2,1,33.0,560,conceptual,-0.48,1,0,13,['summarization'],1,-72.0,1,1,1,1,1,5,1,0.035,1,1,0,['Wikipedia'],5,voice,none,1,5,16,1,['text'],['Sundial'],1,Water Clock
4,3,81.0,190,careless,0.52,5,2,2,"['active_recall', 'spaced_repetition', 'practice_tests']",3,4.0,4,4,3,4,4,2,4,0.78,3,4,2,"['KhanAcademy', 'Anki', 'Brilliant']",2,typing,bachelor,5,2,1,3,"['video', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion']",4,Non-uniform Linear Motion
4,2,77.0,230,calculation,0.38,4,2,3,"['active_recall', 'flashcards', 'spaced_repetition']",2,-3.0,3,4,2,4,3,3,3,0.73,2,3,2,"['KhanAcademy', 'Quizlet', 'Brilliant']",3,typing,high_school,4,3,2,2,"['video', 'practice_tests']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time']",3,Uniform Linear Motion
3,2,61.0,335,calculation,0.23,3,1,7,"['flashcards', 'summarization']",2,-19.0,2,3,2,3,2,4,2,0.43,2,3,1,"['Quizlet', 'Brainly', 'StackOverflow']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
1,1,29.0,598,conceptual,-0.52,1,0,14,['summarization'],1,-73.0,1,1,1,1,1,5,1,0.007,1,1,0,['Wikipedia'],5,voice,none,1,5,17,1,['text'],['Sundial'],1,Water Clock
2,1,31.0,530,conceptual,-0.52,1,0,14,['summarization'],1,-74.0,1,1,1,1,1,5,1,0.006,1,1,0,['Wikipedia'],5,voice,none,1,5,18,1,['text'],['Sundial'],1,Water Clock
2,1,39.0,535,conceptual,-0.42,1,0,13,['summarization'],1,-69.0,1,1,1,1,1,5,1,0.008,1,1,0,['Wikipedia'],5,voice,none,1,5,19,1,['text'],['Sundial'],1,Water Clock
2,1,47.0,465,conceptual,-0.08,2,1,7,"['summarization', 'flashcards']",1,-32.0,1,2,1,2,1,5,1,0.22,1,2,1,"['Brainly', 'Quizlet', 'YouTube']",5,voice,middle_school,2,5,4,1,"['text', 'simulation']",['Sundial'],1,Water Clock
5,3,93.0,105,careless,0.68,5,3,2,"['active_recall', 'spaced_repetition', 'practice_tests', 'group_study']",3,11.0,5,5,3,5,5,1,5,0.91,3,5,2,"['Anki', 'Notion', 'Brilliant']",1,typing,phd,5,1,0,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion', 'Non-uniform Linear Motion']",5,Non-uniform Linear Motion
3,2,66.0,280,calculation,0.27,3,2,5,"['flashcards', 'spaced_repetition']",2,-16.0,3,3,2,3,2,4,2,0.47,2,3,1,"['Quizlet', 'Brainly', 'Duolingo']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
3,2,64.0,310,calculation,0.17,3,1,6,"['flashcards', 'summarization']",2,-21.0,2,3,2,3,2,4,2,0.41,2,3,1,"['Quizlet', 'Brainly', 'StackOverflow']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
1,1,26.0,565,conceptual,-0.6,1,0,14,['summarization'],1,-71.0,1,1,1,1,1,5,1,0.009,1,1,0,['Wikipedia'],5,voice,none,1,5,17,1,['text'],['Sundial'],1,Water Clock
4,3,79.0,220,careless,0.42,4,2,4,"['active_recall', 'spaced_repetition', 'practice_tests']",3,1.0,4,4,3,4,4,2,4,0.77,3,4,2,"['KhanAcademy', 'Anki', 'Overleaf']",2,typing,bachelor,5,2,1,3,"['video', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion']",4,Non-uniform Linear Motion
3,2,69.0,290,calculation,0.33,4,2,3,"['active_recall', 'flashcards']",2,-6.0,3,4,2,3,3,3,3,0.73,2,3,2,"['KhanAcademy', 'Quizlet', 'Brilliant']",3,typing,high_school,4,3,2,2,"['video', 'practice_tests']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time']",3,Uniform Linear Motion
1,1,36.0,550,conceptual,-0.42,1,0,10,['summarization'],1,-66.0,1,1,1,1,1,5,1,0.07,1,1,0,['Wikipedia'],5,voice,none,1,5,11,1,['text'],['Sundial'],1,Water Clock
4,3,89.0,140,careless,0.62,5,3,1,"['active_recall', 'spaced_repetition', 'practice_tests', 'group_study']",3,6.0,5,5,3,5,5,1,5,0.87,3,5,2,"['Anki', 'Notion', 'Brilliant']",1,typing,phd,5,1,0,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion', 'Non-uniform Linear Motion']",5,Non-uniform Linear Motion
2,1,41.0,470,conceptual,-0.12,2,0,10,['summarization'],1,-38.0,1,2,1,2,1,5,1,0.17,1,2,0,"['Brainly', 'Wikipedia']",5,voice,none,2,5,6,1,['text'],['Sundial'],1,Water Clock
4,2,73.0,250,calculation,0.3,4,2,4,"['active_recall', 'flashcards', 'spaced_repetition']",2,-7.0,3,4,2,4,3,3,3,0.65,2,3,2,"['KhanAcademy', 'Quizlet', 'Brilliant']",3,typing,high_school,4,3,2,2,"['video', 'practice_tests']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time']",3,Uniform Linear Motion
3,2,56.0,370,calculation,0.13,3,1,7,"['flashcards', 'summarization']",2,-24.0,2,3,2,3,2,4,2,0.44,2,3,1,"['Quizlet', 'Brainly', 'StackOverflow']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
2,1,46.0,475,conceptual,-0.22,2,1,8,"['summarization', 'flashcards']",1,-33.0,1,2,1,2,1,5,1,0.22,1,2,1,"['Brainly', 'Quizlet', 'YouTube']",5,voice,middle_school,2,5,4,1,"['text', 'simulation']",['Sundial'],1,Water Clock
3,2,54.0,380,calculation,0.16,3,1,9,"['flashcards', 'summarization']",2,-26.0,2,3,2,3,2,4,2,0.39,2,3,1,"['Quizlet', 'Brainly', 'StackOverflow']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
3,2,61.0,325,calculation,0.21,3,1,6,"['flashcards', 'summarization']",2,-14.0,2,3,2,3,2,4,2,0.41,2,3,1,"['Quizlet', 'Brainly', 'StackOverflow']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
2,1,49.0,530,conceptual,-0.28,1,0,11,['summarization'],1,-52.0,1,1,1,1,1,5,1,0.09,1,1,0,['Wikipedia'],5,voice,none,1,5,11,1,['text'],['Sundial'],1,Water Clock
5,3,91.0,85,careless,0.85,5,3,1,"['active_recall', 'spaced_repetition', 'practice_tests', 'group_study', 'mnemonics']",3,13.0,5,5,3,5,5,1,5,0.96,3,5,2,"['Anki', 'Notion', 'Overleaf']",1,typing,phd,5,1,0,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion', 'Non-uniform Linear Motion']",5,Non-uniform Linear Motion
4,3,84.0,185,careless,0.68,4,2,3,"['active_recall', 'spaced_repetition', 'practice_tests']",3,6.0,4,4,3,4,4,2,4,0.83,3,4,2,"['KhanAcademy', 'Anki', 'Brilliant']",2,typing,bachelor,5,2,1,3,"['video', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion']",4,Non-uniform Linear Motion
2,1,44.0,460,conceptual,-0.18,2,1,9,"['summarization', 'flashcards']",1,-37.0,1,2,1,2,1,5,1,0.2,1,2,1,"['Brainly', 'Quizlet']",5,voice,middle_school,2,5,4,1,"['text', 'simulation']",['Sundial'],1,Water Clock
4,3,76.0,235,careless,0.48,4,2,4,"['active_recall', 'spaced_repetition', 'practice_tests']",3,-1.0,4,4,3,4,4,2,4,0.76,3,4,2,"['KhanAcademy', 'Anki', 'Brilliant']",2,typing,bachelor,5,2,1,3,"['video', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion']",4,Non-uniform Linear Motion
4,3,86.0,160,careless,0.75,5,3,2,"['active_recall', 'spaced_repetition', 'practice_tests', 'group_study']",3,8.0,4,5,3,4,4,2,5,0.89,3,4,2,"['Anki', 'Notion', 'Brilliant']",2,typing,master,5,2,1,3,"['video', 'simulation']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time', 'Uniform Linear Motion', 'Non-uniform Linear Motion']",4,Non-uniform Linear Motion
3,2,71.0,295,calculation,0.31,4,2,4,"['active_recall', 'flashcards']",2,-9.0,3,4,2,3,3,3,3,0.68,2,3,2,"['KhanAcademy', 'Quizlet', 'Brilliant']",3,typing,high_school,4,3,2,2,"['video', 'practice_tests']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum', 'Time Period of Pendulum', 'Speed', 'SI Unit of Time']",3,Uniform Linear Motion
1,1,24.0,575,conceptual,-0.65,1,0,14,['summarization'],1,-76.0,1,1,1,1,1,5,1,0.004,1,1,0,['Wikipedia'],5,voice,none,1,5,20,1,['text'],['Sundial'],1,Water Clock
2,1,34.0,478,conceptual,-0.27,1,0,13,['summarization'],1,-57.0,1,1,1,1,1,5,1,0.045,1,1,0,['Wikipedia'],5,voice,none,1,5,16,1,['text'],['Sundial'],1,Water Clock
3,2,51.0,420,calculation,0.08,3,1,10,"['flashcards', 'summarization']",2,-28.0,2,3,2,3,2,4,2,0.32,2,3,1,"['Quizlet', 'Brainly', 'StackOverflow']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
2,1,44.0,550,conceptual,-0.22,1,0,10,['summarization'],1,-58.0,1,1,1,1,1,5,1,0.055,1,1,0,['Wikipedia'],5,voice,none,1,5,14,1,['text'],['Sundial'],1,Water Clock
3,2,67.0,305,calculation,0.27,3,2,4,"['flashcards', 'summarization']",2,-11.0,3,3,2,3,2,4,2,0.47,2,3,1,"['Quizlet', 'Brainly', 'StackOverflow']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
3,2,55.0,350,calculation,0.1,3,1,8,"['flashcards', 'summarization']",2,-22.0,2,3,2,3,2,4,2,0.35,2,3,1,"['Quizlet', 'Brainly', 'StackOverflow']",4,writing,primary_school,3,4,3,2,"['text', 'video']","['Sundial', 'Water Clock']",2,Hourglass
2,1,35.0,490,conceptual,-0.43,1,0,14,['summarization'],1,-71.0,1,1,1,1,1,5,1,0.003,1,1,0,['Wikipedia'],5,voice,none,1,5,21,1,['text'],['Sundial'],1,Water Clock
2,1,47.0,515,conceptual,-0.32,1,0,10,['summarization'],1,-63.0,1,1,1,1,1,5,1,0.025,1,1,0,['Wikipedia'],5,voice,none,1,5,13,1,['text'],['Sundial'],1,Water Clock
2,1,46.0,530,conceptual,-0.22,1,0,11,['summarization'],1,-61.0,1,1,1,1,1,5,1,0.02,1,1,0,['Wikipedia'],5,voice,none,1,5,15,1,['text'],['Sundial'],1,Water Clock
1,1,23.0,545,conceptual,-0.7,1,0,14,['summarization'],1,-77.0,1,1,1,1,1,5,1,0.002,1,1,0,['Wikipedia'],5,voice,none,1,5,22,1,['text'],['Sundial'],1,Water Clock
2,1,30.0,590,conceptual,-0.6,1,0,14,['summarization'],1,-78.0,1,1,1,1,1,5,1,0.001,1,1,0,['Wikipedia'],5,voice,none,1,5,23,1,['text'],['Sundial'],1,Water Clock
1,1,22.0,570,conceptual,-0.68,1,0,14,['summarization'],1,-79.0,1,1,1,1,1,5,1,0.0005,1,1,0,['Wikipedia'],5,voice,none,1,5,24,1,['text'],['Sundial'],1,Water Clock
