conceptual_clarity_level,attention_span_category,retention_strength,problem_solving_speed_sec,error_pattern,growth_slope,response_to_feedback,revisions_per_week,days_between_revisions,method_of_revision,question_asking_nature,self_assessment_accuracy,exploration_tendency,teacher_relationship_quality,peer_learning_behavior,communication_clarity,discussion_engagement,test_anxiety_level,resilience_after_failure,motivation_intrinsic_vs_extrinsic,achievement_orientation,emotional_self_awareness,device_access_type,preferred_edtech_apps,digital_distraction_level,input_method_preference,highest_academic_level,study_space_quality,academic_pressure_at_home,family_responsibilities_hrs,support_system_strength,content_type_preference,knowledge_graph_nodes_covered,ongoing_concept,metacognitive_skill_level,next_section,difficulty,board_exam_importance,olympiad_importance,avg_study_time_min,interest_evoking,curiosity_evoking,critical_reasoning_needed,inquiry_learning_scope,example_availability
4,3,78.0,270,conceptual,0.28,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall']",3,9.0,4,4,3,4,4,2,4,0.78,3,4,2,"['GeoGebra', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,MCQs,3,4,3,4,4,4,3,3,4
5,3,85.0,220,conceptual,0.35,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall', 'group_study']",3,12.0,5,5,3,5,5,1,5,0.9,3,5,2,"['GeoGebra', 'WolframAlpha', 'Desmos']",1,writing,phd,5,1,0,3,"['simulation', 'gamified', 'video']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum']",Time Period of Pendulum,5,Intuition,1,1,5,5,5,5,5,5,5
2,1,52.0,480,calculation,0.08,2,1,9,"['flashcards', 'summarization']",1,-18.0,1,2,1,2,1,5,1,0.25,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,Working,2,3,1,2,2,1,1,1,2
3,2,63.0,390,careless,0.13,3,2,6,"['flashcards', 'summarization']",2,-3.0,2,3,2,3,2,3,3,0.52,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,Concept Definition,3,4,2,3,3,3,2,3,3
3,2,66.0,380,careless,0.14,4,2,5,"['flashcards', 'summarization']",2,-2.0,2,3,2,3,2,3,3,0.53,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,Intuition,3,4,2,3,3,3,2,3,3
4,3,76.0,290,conceptual,0.26,4,2,3,"['spaced_repetition', 'practice_tests']",3,7.5,4,4,3,4,4,2,4,0.72,3,4,2,"['GeoGebra', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,Logical Flow,3,3,4,4,4,4,3,4,4
3,2,64.0,390,careless,0.14,3,2,6,"['flashcards', 'summarization']",2,-4.0,2,3,2,3,2,3,3,0.51,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,Working,3,4,2,3,3,3,2,3,3
5,3,88.0,200,conceptual,0.4,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall', 'group_study']",3,15.0,5,5,3,5,5,1,5,0.95,3,5,2,"['GeoGebra', 'WolframAlpha', 'Desmos']",1,writing,phd,5,1,0,3,"['simulation', 'gamified', 'video']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum']",Time Period of Pendulum,5,"Details (facts, sub-concepts)",1,1,5,5,5,5,5,5,5
2,1,53.0,490,calculation,0.07,2,1,8,"['flashcards', 'summarization']",1,-19.0,1,2,1,2,1,5,1,0.23,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,Working,2,3,1,2,2,1,1,1,2
4,3,73.0,285,conceptual,0.23,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall']",3,6.5,4,4,3,4,4,2,4,0.71,3,4,2,"['GeoGebra', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,Explanation (with analogies),3,3,4,4,4,4,3,4,4
4,3,74.0,275,conceptual,0.24,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall']",3,7.2,4,4,3,4,4,2,4,0.73,3,4,2,"['GeoGebra', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,Working,3,3,4,4,4,4,3,4,4
5,3,83.0,210,conceptual,0.33,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall', 'group_study']",3,11.5,5,5,3,5,5,1,5,0.87,3,5,2,"['GeoGebra', 'WolframAlpha', 'Desmos']",1,writing,phd,5,1,0,3,"['simulation', 'gamified', 'video']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum']",Time Period of Pendulum,5,What-if Scenarios,1,1,5,5,5,5,5,5,5
1,1,45.0,550,calculation,-0.05,1,0,14,['flashcards'],1,-30.0,1,1,1,1,1,5,1,0.1,1,1,0,[],5,typing,primary_school,1,5,5,1,['text'],[],Sundial,1,Concept Definition,5,5,1,1,1,1,1,1,1
2,1,51.0,520,calculation,0.06,2,1,9,"['flashcards', 'summarization']",1,-22.0,1,2,1,2,1,5,1,0.22,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,Intuition,2,4,1,2,2,1,1,1,2
1,1,48.0,580,calculation,-0.02,1,0,12,['flashcards'],1,-25.0,1,1,1,1,1,5,1,0.15,1,1,0,[],5,typing,primary_school,1,5,6,1,['text'],[],Sundial,1,Logical Flow,5,5,1,1,1,1,1,1,1
4,3,77.0,260,conceptual,0.27,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall']",3,8.5,4,4,3,4,4,2,4,0.74,3,4,2,"['GeoGebra', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,Intuition,3,3,4,4,4,4,3,4,4
2,1,58.0,450,calculation,0.03,2,1,11,"['flashcards', 'summarization']",1,-25.0,1,2,1,2,1,5,1,0.28,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,Real-Life Application,2,3,1,2,2,1,1,1,2
3,2,65.0,410,careless,0.12,3,2,5,"['flashcards', 'summarization']",2,-6.0,2,3,2,3,2,4,2,0.48,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,4,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,Real-Life Application,3,4,2,3,3,3,2,3,3
5,3,87.0,215,conceptual,0.38,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall', 'group_study']",3,14.0,5,5,3,5,5,1,5,0.92,3,5,2,"['GeoGebra', 'WolframAlpha', 'Desmos']",1,writing,phd,5,1,0,3,"['simulation', 'gamified', 'video']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum']",Time Period of Pendulum,5,Logical Flow,1,1,5,5,5,5,5,5,5
1,1,47.0,570,calculation,-0.03,1,0,13,['flashcards'],1,-27.0,1,1,1,1,1,5,1,0.13,1,1,0,[],5,typing,primary_school,1,5,7,1,['text'],[],Sundial,1,Concept Definition,5,5,1,1,1,1,1,1,1
2,1,49.0,560,calculation,-0.01,1,0,14,['flashcards'],1,-28.0,1,1,1,1,1,5,1,0.12,1,1,0,[],5,typing,primary_school,1,5,8,1,['text'],[],Sundial,1,Working,5,5,1,1,1,1,1,1,1
2,1,54.0,470,calculation,0.06,2,1,8,"['flashcards', 'summarization']",1,-17.0,1,2,1,2,1,5,1,0.27,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,"Details (facts, sub-concepts)",2,3,1,2,2,1,1,1,2
4,3,79.0,250,conceptual,0.31,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall']",3,10.0,4,4,3,4,4,2,4,0.76,3,4,2,"['GeoGebra', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,Concept Definition,3,3,4,4,4,4,3,4,4
1,1,46.0,590,calculation,-0.04,1,0,14,['flashcards'],1,-29.0,1,1,1,1,1,5,1,0.11,1,1,0,[],5,typing,primary_school,1,5,9,1,['text'],[],Sundial,1,Explanation (with analogies),5,5,1,1,1,1,1,1,1
3,2,69.0,385,careless,0.17,4,2,4,"['flashcards', 'summarization']",2,1.0,3,3,2,3,3,3,3,0.56,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock', 'Hourglass']",Candle Clock,2,MCQs,3,4,3,4,3,3,3,3,3
3,2,65.0,400,careless,0.14,3,2,5,"['flashcards', 'summarization']",2,-3.0,2,3,2,3,2,4,2,0.5,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,"Details (facts, sub-concepts)",3,4,2,3,3,3,2,3,3
4,2,71.0,310,conceptual,0.21,4,2,3,"['spaced_repetition', 'practice_tests']",3,6.0,3,4,2,4,3,2,4,0.72,2,4,2,"['Desmos', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']",['Sundial'],Water Clock,3,Explanation (with analogies),3,4,2,3,4,4,3,4,4
2,1,56.0,510,calculation,0.04,2,1,10,"['flashcards', 'summarization']",1,-23.0,1,2,1,2,1,5,1,0.24,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,Logical Flow,2,3,1,2,2,1,1,1,2
3,2,66.0,400,careless,0.15,3,2,5,"['flashcards', 'summarization']",2,-4.0,2,3,2,3,2,4,2,0.49,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,What-if Scenarios,4,3,2,3,3,3,3,3,3
2,1,57.0,530,calculation,0.02,2,1,12,"['flashcards', 'summarization']",1,-24.0,1,2,1,2,1,5,1,0.26,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,Explanation (with analogies),2,3,1,2,2,1,1,1,2
4,2,72.0,330,conceptual,0.23,4,2,4,"['spaced_repetition', 'practice_tests']",3,6.5,3,4,2,4,3,2,4,0.73,2,4,2,"['Desmos', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']",['Sundial'],Water Clock,3,Intuition,3,4,2,3,4,4,3,4,4
1,1,44.0,590,calculation,-0.06,1,0,14,['flashcards'],1,-35.0,1,1,1,1,1,5,1,0.08,1,1,0,[],5,typing,primary_school,1,5,10,1,['text'],[],Sundial,1,Concept Definition,5,5,1,1,1,1,1,1,1
5,3,86.0,200,conceptual,0.37,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall', 'group_study']",3,13.0,5,5,3,5,5,1,5,0.91,3,5,2,"['GeoGebra', 'WolframAlpha', 'Desmos']",1,writing,phd,5,1,0,3,"['simulation', 'gamified', 'video']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum']",Time Period of Pendulum,5,Real-Life Application,1,1,5,5,5,5,5,5,5
2,1,59.0,540,calculation,0.01,2,1,13,"['flashcards', 'summarization']",1,-26.0,1,2,1,2,1,5,1,0.29,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,What-if Scenarios,2,3,1,2,2,1,1,1,2
1,1,43.0,600,calculation,-0.07,1,0,14,['flashcards'],1,-40.0,1,1,1,1,1,5,1,0.05,1,1,0,[],5,typing,primary_school,1,5,11,1,['text'],[],Sundial,1,What-if Scenarios,5,5,1,1,1,1,1,1,1
2,1,54.0,520,calculation,0.04,2,1,11,"['flashcards', 'summarization']",1,-21.0,1,2,1,2,1,5,1,0.21,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,Intuition,2,4,1,2,2,1,1,1,2
3,2,63.0,420,careless,0.14,3,2,5,"['flashcards', 'summarization']",2,-5.0,2,3,2,3,2,4,2,0.47,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,Intuition,3,4,2,3,3,3,2,3,3
3,2,67.0,400,careless,0.15,4,2,5,"['flashcards', 'summarization']",2,-1.0,2,3,2,3,2,4,2,0.54,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,Concept Definition,3,4,2,3,3,3,2,3,3
1,1,42.0,580,calculation,-0.08,1,0,14,['flashcards'],1,-32.0,1,1,1,1,1,5,1,0.07,1,1,0,[],5,typing,primary_school,1,5,12,1,['text'],[],Sundial,1,Real-Life Application,5,5,1,1,1,1,1,1,1
4,3,73.0,295,conceptual,0.24,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall']",3,6.8,4,4,3,4,4,2,4,0.72,3,4,2,"['GeoGebra', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,What-if Scenarios,3,3,4,4,4,4,3,4,4
2,1,55.0,540,calculation,0.03,2,1,10,"['flashcards', 'summarization']",1,-22.0,1,2,1,2,1,5,1,0.25,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,Logical Flow,2,3,1,2,2,1,1,1,2
3,2,68.0,410,careless,0.16,3,2,4,"['flashcards', 'summarization']",2,-2.0,2,3,2,3,2,4,2,0.49,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,Working,3,4,2,3,3,3,2,3,3
4,3,74.0,280,conceptual,0.24,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall']",3,7.0,4,4,3,4,4,2,4,0.73,3,4,2,"['GeoGebra', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,MCQs,3,3,4,4,4,4,3,4,4
2,1,50.0,550,calculation,0.0,2,1,13,"['flashcards', 'summarization']",1,-20.0,1,2,1,2,1,5,1,0.2,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,Working,2,3,1,2,2,1,1,1,2
4,3,78.0,290,conceptual,0.25,4,2,3,"['spaced_repetition', 'practice_tests']",3,8.0,4,4,3,4,4,2,4,0.74,3,4,2,"['GeoGebra', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,Explanation (with analogies),3,3,4,4,4,4,3,4,4
3,2,64.0,400,careless,0.13,3,2,6,"['flashcards', 'summarization']",2,-3.0,2,3,2,3,2,3,3,0.51,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,Intuition,3,4,2,3,3,3,2,3,3
2,1,51.0,530,calculation,0.04,2,1,11,"['flashcards', 'summarization']",1,-17.0,1,2,1,2,1,5,1,0.21,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,Concept Definition,2,3,1,2,2,1,1,1,2
2,1,52.0,560,calculation,0.04,2,1,11,"['flashcards', 'summarization']",1,-21.0,1,2,1,2,1,5,1,0.21,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,Explanation (with analogies),2,3,1,2,2,1,1,1,2
1,1,40.0,570,calculation,-0.1,1,0,14,['flashcards'],1,-35.0,1,1,1,1,1,5,1,0.05,1,1,0,[],5,typing,primary_school,1,5,10,1,['text'],[],Sundial,1,Working,5,5,1,1,1,1,1,1,1
3,2,62.0,400,careless,0.12,3,2,5,"['flashcards', 'summarization']",2,-5.0,2,3,2,3,2,3,3,0.5,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,Logical Flow,3,4,2,3,3,3,2,3,3
3,2,60.0,420,careless,0.1,3,2,6,"['flashcards', 'summarization']",2,-5.0,2,3,2,3,2,4,2,0.45,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,4,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,Real-Life Application,3,4,2,3,3,3,2,3,3
1,1,49.0,580,calculation,-0.01,1,0,14,['flashcards'],1,-31.0,1,1,1,1,1,5,1,0.09,1,1,0,[],5,typing,primary_school,1,5,14,1,['text'],[],Sundial,1,Real-Life Application,5,5,1,1,1,1,1,1,1
4,3,75.0,320,conceptual,0.25,4,2,3,"['spaced_repetition', 'practice_tests']",3,7.0,4,4,3,4,4,2,4,0.73,3,4,2,"['GeoGebra', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,Logical Flow,3,3,4,4,4,4,3,4,4
4,3,73.0,290,conceptual,0.24,4,2,3,"['spaced_repetition', 'practice_tests']",3,6.5,4,4,3,4,4,2,4,0.71,3,4,2,"['GeoGebra', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,Intuition,3,3,4,4,4,4,3,4,4
2,1,51.0,530,calculation,0.03,2,1,10,"['flashcards', 'summarization']",1,-24.0,1,2,1,2,1,5,1,0.23,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,Intuition,2,3,1,2,2,1,1,1,2
2,1,46.0,570,calculation,-0.06,1,0,14,['flashcards'],1,-34.0,1,1,1,1,1,5,1,0.07,1,1,0,[],5,typing,primary_school,1,5,15,1,['text'],[],Sundial,1,Concept Definition,5,5,1,1,1,1,1,1,1
5,3,84.0,235,conceptual,0.34,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall', 'group_study']",3,11.8,5,5,3,5,5,1,5,0.88,3,5,2,"['GeoGebra', 'WolframAlpha', 'Desmos']",1,writing,phd,5,1,0,3,"['simulation', 'gamified', 'video']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum']",Time Period of Pendulum,5,MCQs,1,1,5,5,5,5,5,5,5
3,2,63.0,410,careless,0.13,3,2,6,"['flashcards', 'summarization']",2,-3.0,2,3,2,3,2,4,2,0.51,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,Working,3,4,2,3,3,3,2,3,3
3,2,67.0,380,careless,0.15,4,2,5,"['flashcards', 'summarization']",2,-2.0,2,3,2,3,2,4,2,0.53,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock', 'Hourglass']",Candle Clock,2,Intuition,3,4,3,4,3,3,3,3,3
4,3,77.0,290,conceptual,0.27,4,2,3,"['spaced_repetition', 'practice_tests']",3,8.0,4,4,3,4,4,2,4,0.74,3,4,2,"['GeoGebra', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,"Details (facts, sub-concepts)",3,3,4,4,4,4,3,4,4
3,2,61.0,430,careless,0.1,3,2,5,"['flashcards', 'summarization']",2,-6.0,2,3,2,3,2,4,2,0.46,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,4,2,2,"['text', 'video']",['Sundial'],Water Clock,2,What-if Scenarios,3,4,2,3,3,3,2,3,3
4,3,75.0,270,conceptual,0.25,4,2,3,"['spaced_repetition', 'practice_tests']",3,8.0,4,4,3,4,4,2,4,0.75,3,4,2,"['GeoGebra', 'Desmos']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock']",Simple Pendulum,3,Real-Life Application,3,3,4,4,5,4,3,4,5
4,3,70.0,310,conceptual,0.21,4,2,4,"['spaced_repetition', 'practice_tests']",3,5.5,3,4,2,4,3,2,4,0.71,2,4,2,"['Desmos', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']",['Sundial'],Water Clock,3,Explanation (with analogies),3,4,2,3,4,4,3,4,4
5,3,88.0,210,conceptual,0.4,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall', 'group_study', 'mnemonics']",3,16.0,5,5,3,5,5,1,5,0.95,3,5,2,"['GeoGebra', 'WolframAlpha', 'Desmos']",1,writing,phd,5,1,0,3,"['simulation', 'gamified', 'video']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum']",Time Period of Pendulum,5,Explanation (with analogies),1,1,5,5,5,5,5,5,5
2,1,53.0,510,calculation,0.02,2,1,13,"['flashcards', 'summarization']",1,-23.0,1,2,1,2,1,5,1,0.23,1,1,1,['KhanAcademy'],5,typing,high_school,1,5,4,1,['text'],[],Sundial,1,"Details (facts, sub-concepts)",2,3,1,2,2,1,1,1,2
1,1,45.0,580,calculation,-0.07,1,0,14,['flashcards'],1,-35.0,1,1,1,1,1,5,1,0.05,1,1,0,[],5,typing,primary_school,1,5,11,1,['text'],[],Sundial,1,Real-Life Application,5,5,1,1,1,1,1,1,1
4,3,74.0,300,conceptual,0.23,4,2,3,"['spaced_repetition', 'practice_tests']",3,6.5,3,4,2,4,3,2,4,0.72,2,4,2,"['Desmos', 'WolframAlpha']",2,writing,bachelor,4,2,1,3,"['simulation', 'gamified']",['Sundial'],Water Clock,3,Working,3,4,2,3,4,4,3,4,4
3,2,63.0,420,careless,0.12,3,2,5,"['flashcards', 'summarization']",2,-5.0,2,3,2,3,2,4,2,0.47,2,3,1,"['KhanAcademy', 'Quizlet']",3,typing,high_school,3,3,2,2,"['text', 'video']","['Sundial', 'Water Clock']",Hourglass,2,"Details (facts, sub-concepts)",3,4,2,3,3,3,2,3,3
2,1,49.0,540,calculation,-0.05,1,0,14,['flashcards'],1,-30.0,1,1,1,1,1,5,1,0.1,1,1,0,[],5,typing,primary_school,1,5,6,1,['text'],[],Sundial,1,Explanation (with analogies),5,5,1,1,1,1,1,1,1
5,3,80.0,225,conceptual,0.33,5,3,2,"['spaced_repetition', 'practice_tests', 'active_recall', 'group_study']",3,11.0,5,5,3,5,5,1,5,0.85,3,5,2,"['GeoGebra', 'WolframAlpha', 'Desmos']",1,writing,master,5,1,0,3,"['simulation', 'gamified', 'video']","['Sundial', 'Water Clock', 'Hourglass', 'Candle Clock', 'Simple Pendulum']",Time Period of Pendulum,4,Real-Life Application,1,2,5,5,5,5,4,5,5
2,1,48.0,560,calculation,-0.03,1,0,14,['flashcards'],1,-31.0,1,1,1,1,1,5,1,0.09,1,1,0,[],5,typing,primary_school,1,5,12,1,['text'],[],Sundial,1,Concept Definition,5,5,1,1,1,1,1,1,1
